TEAM,2024 Power,2024 RP%,2024 RR,2024 TPR,2024 SOS,2023 Power
Nevada,-1.258611285,0.037635937,-1.080011667,-0.263417756,0.493021665,-1.770782194
New Mexico,-1.227037691,-1.496331999,-2.840967044,-0.617407381,1.453116487,-1.326126269
New Mexico St,-1.558560426,-0.850450763,-2.096845319,-0.705598569,1.167682892,-0.137682252
North Carolina,0.335855202,-1.738537462,0.817752081,-0.023341746,0.596815700,0.606105841
Northwestern,-0.706073394,1.410133563,-0.323765390,-1.041215030,-0.700609735,-0.097258986
Notre Dame,1.827707509,0.118371091,1.663756232,0.540101949,-1.634756048,1.632856795
Ohio,0.122733444,-2.545889007,-0.490975622,-0.833598278,1.271476926,-0.121512945
Ohio St,2.403925595,0.199106246,1.908780749,1.720271514,-1.686653066,2.045174107
Oklahoma,0.691058132,0.279841400,1.664480086,1.096808817,-1.505013505,1.220539483
Oklahoma St,-0.264043080,1.490868718,0.114709060,-0.230958499,-0.544918683,0.549513269
Old Dominion,-0.532418628,0.925722636,-1.161083295,-0.682938333,0.830352278,-0.808708465
Oregon,1.993468876,0.844987482,1.982975766,2.401915898,-1.245528418,2.126020639
Oregon St,-0.587672417,-1.496331999,-0.430352865,0.115069422,0.544918683,1.026507806
Penn St,1.882961298,0.925722636,1.507041880,-0.019054675,-1.479064996,1.907735003
Pittsburgh,0.327961803,0.441311709,0.370410422,0.167126720,-0.259485087,-0.582338176
Purdue,-1.337545270,-0.608245299,0.780292646,0.873268655,-1.453116487,-0.582338176
Rice,-0.958662144,1.167928100,-1.120004591,-0.918114832,0.856300787,-0.816793119
Rutgers,0.446362780,1.248663254,0.509390355,-0.904641178,-0.129742544,0.290804367
S Alabama,0.162200436,-1.415596844,-0.374435158,-1.014267723,1.063888857,0.420158818
S Florida,-0.240362885,1.087192945,0.253146103,-0.645579566,0.155691052,-0.525745604
Sam Houston,-0.603459214,0.441311709,-1.130319508,-0.931588485,1.479064996,-1.107840633
San Diego St,-1.274398082,-1.011921072,-0.220073331,-0.066212462,1.089837365,-0.824877772
San Jose St,-0.492951635,-1.334861690,-0.760068279,-1.111645492,1.349322452,-0.267036702
SMU,1.322530008,0.279841400,-0.752286851,0.763029672,-0.674661226,0.824391477
South Carolina,1.275169617,0.360576555,1.015364174,1.311774835,-1.193631400,0.355481592
Southern Miss,-2.079524724,-0.204569527,-0.288658480,-0.174614130,1.219579909,-1.156348552
Stanford,-0.706073394,0.683517173,0.606929657,-1.305788592,-0.986043331,-0.954232223
Syracuse,0.375322194,1.248663254,0.487131850,0.920426443,0.207588070,-0.347883234
TCU,0.793672312,1.006457791,0.547211717,0.914302055,0.025948509,0.646529107
Temple,-1.661174606,-0.366039836,-0.910629874,-0.603933728,0.752506752,-1.689935662
Tennessee,1.677732938,-0.527510145,1.513013674,0.777115764,-1.323373944,1.317555321
Texas,1.843494305,0.925722636,1.868968789,1.981782882,-1.582859031,1.883481043
Texas A&M,1.283063016,1.087192945,1.113627330,2.139179653,-1.401219470,1.269047402
Texas St,0.367428795,0.118371091,-0.562637150,-0.035590522,1.401219470,-0.121512945
Texas Tech,0.280601413,-0.527510145,0.948950586,0.694436526,-0.103794035,0.501005350
Toledo,-0.256149682,-1.334861690,-0.076388348,-1.013655284,1.556910522,0.306973673
Troy,-0.579779018,-1.819272617,-0.438134294,-0.825024134,1.037940348,0.800137517
Tulane,0.391108991,-0.688980454,-0.078740873,0.260829856,0.363279122,0.234211795
Tulsa,-1.684854801,-1.173391381,0.148730190,-0.787052929,1.686653066,-1.099755980
UAB,-0.950768746,0.602782018,-0.423838181,-0.542077409,0.908197805,-1.180602512
UCF,0.162200436,-0.769715608,0.443700621,1.045976397,-0.389227631,0.282719714
UCLA,-0.161428901,-0.608245299,-0.480479742,0.477633191,-1.271476926,0.792052864
UConn,0.059586256,-0.285304681,-0.905562897,-0.357120892,1.505013505,-1.253364390
UL Monroe,-1.377012262,-1.496331999,-0.812004791,-1.004468702,0.051897017,-1.738443581
UMass,-1.787468981,1.248663254,-1.330103162,-0.448374273,0.441124648,-1.406972801
UNLV,0.675271335,0.360576555,-0.280153198,-0.013542726,0.518970174,0.121026650
USC,0.880499695,-0.688980454,1.269074937,1.161727330,-1.037940348,0.767798905
Utah,0.548976960,1.087192945,0.020608064,0.731795293,0.129742544,0.695037026
Utah St,-0.879728159,0.683517173,-1.047800172,-0.526766439,0.674661226,-0.873385691
UTEP,-1.850616169,-1.092656226,-0.372263596,-0.475321580,0.700609735,-1.301872309
UTSA,0.114840045,-1.092656226,-0.669405589,-0.034365645,0.233536578,0.444412777
Vanderbilt,0.327961803,0.118371091,0.437185936,0.586034859,-1.297425435,-1.018909448
Virginia,-0.461378042,1.410133563,-0.432162500,0.055050420,-0.804403770,-0.865301038
Virginia Tech,0.730525124,2.217485108,0.343446867,-0.437350375,-0.518970174,0.476751390
W Kentucky,-0.232469487,0.199106246,-0.787212798,-0.229733622,0.337330613,-0.153851558
W Michigan,-0.863941363,0.360576555,-0.219168514,-0.736832947,0.077845526,-1.277618350
Wake Forest,-0.508738432,0.764252327,0.232516269,-0.994057243,-0.181639561,-0.630846095
Washington,0.185880631,-1.819272617,0.328788827,1.549401089,-1.427167979,1.333724627
Washington St,0.043799459,-0.285304681,-0.034766753,-0.425101599,0.986043331,0.403989511
West Virginia,0.106946647,0.925722636,0.333855804,0.203873048,-0.337330613,0.614190494
Wisconsin,0.177987233,1.006457791,1.003601549,0.944923995,-0.908197805,0.767798905
Wyoming,-1.132316910,0.279841400,-0.678272798,-1.526266559,0.778455261,-0.283206009
