TEAM,2024 RP%,2024 RR,2024 TPR,2024 SOS,2023 Power
New Mexico,-2.202309375,-1.272289893,-0.511688531,0.325276866,-1.227037691
New Mexico St,0.965155503,-0.686176808,-1.019822422,0.658257151,-1.558560426
North Carolina,-0.035096564,0.344640586,1.945806323,0.017910449,0.335855202
Northwestern,0.381675131,-0.072667503,-0.45856862,-1.262782955,-0.706073394
Notre Dame,0.298320792,1.650527106,-0.304800455,-0.596822385,1.827707509
Ohio,0.46502947,-1.30217668,-1.015628744,0.069138185,0.122733444
Ohio St,-0.618576936,2.074753432,0.790448247,-1.185941351,2.403925595
Oklahoma,1.298572859,1.296590073,1.617301607,-1.698218712,0.691058132
Oklahoma St,-0.701931275,0.401923593,0.549311807,-0.648050121,-0.26404308
Old Dominion,0.298320792,-0.320893866,-1.269346216,0.504573943,-0.532418628
Oregon,-0.868639953,2.136740841,2.304365726,-0.904188802,1.993468876
Oregon St,0.715092486,-0.0463782,-0.189474331,0.094752053,-0.587672417
Penn St,0.798446825,1.495281855,0.206129221,-0.981030406,1.882961298
Pittsburgh,0.881801164,0.240036834,-0.288025746,-0.494366912,0.327961803
Purdue,-1.785537681,-0.589874942,0.216613414,-1.288396823,-1.33754527
Rice,-1.202057308,-0.605648523,-1.2539694,1.349831589,-0.958662144
Rutgers,1.465281536,0.663432972,0.130643031,-1.314010691,0.44636278
S Alabama,0.298320792,-0.531761746,-0.862559526,1.042465172,0.162200436
S Florida,1.131864181,-0.115007116,-0.606046269,-0.110158891,-0.240362885
Sam Houston,-1.118702969,-1.653623147,-0.894012105,0.478960075,-0.603459214
San Diego St,-0.118450903,-0.399485044,-0.793363851,1.554742534,-1.274398082
San Jose St,0.298320792,-0.794101314,-0.970896187,0.735098755,-0.492951635
SMU,-0.035096564,0.651256874,0.366187901,-0.571208517,1.322530008
South Carolina,0.214966453,1.251206434,1.418101939,-1.544535504,1.275169617
Southern Miss,0.131612114,-0.920013237,-0.154527021,1.47790093,-2.079524724
Stanford,1.131864181,0.195206655,-0.030114596,-0.878574934,-0.706073394
Syracuse,-0.28515958,0.268263244,0.231291284,-1.365238427,0.375322194
TCU,0.548383809,0.89809959,-0.028716704,-0.673663989,0.793672312
Temple,-0.201805242,-1.122579233,-0.560614765,0.81194036,-1.661174606
Tennessee,0.381675131,1.774225193,-0.596261022,-1.109099746,1.677732938
Texas,-0.701931275,2.389394876,0.830987127,-1.416466163,1.843494305
Texas A&M,1.465281536,1.898753469,1.68300255,-1.467693899,1.283063016
Texas St,-1.118702969,-0.516541624,-0.640294633,0.965623568,0.367428795
Texas Tech,1.798698892,0.367885864,3.060625518,-0.135772759,0.280601413
Toledo,0.548383809,-0.430202019,-0.74583551,1.682811874,-0.256149682
Troy,1.048509842,-0.519032189,-0.822020646,0.555801679,-0.579779018
Tulane,0.214966453,-0.266654883,-0.509591693,0.145979789,0.391108991
Tulsa,-0.535222597,-0.939937762,-0.671747212,1.170534513,-1.684854801
UAB,-1.202057308,-1.72972376,-0.634703063,0.40211847,-0.950768746
UCF,-0.701931275,-0.14101969,0.321455344,-0.238228232,0.162200436
UCLA,-0.868639953,0.286250661,1.12873821,-1.237169087,-0.161428901
UConn,0.131612114,-1.21334651,-0.634004117,1.452287061,0.059586256
UL Monroe,0.881801164,-0.920843426,-0.749330241,0.197207526,-1.377012262
UMass,-1.368765986,-2.3407425,-0.759814434,0.453346206,-1.787468981
UNLV,-1.785537681,-0.369598258,-0.471848598,1.401059325,0.675271335
USC,-0.618576936,1.400640365,1.230784356,-1.211555219,0.880499695
Utah,0.631738147,0.394175167,0.459147746,-0.315069836,0.54897696
Utah St,-1.452120325,-0.652692539,-0.945035178,0.376504602,-0.879728159
UTEP,0.631738147,-0.335560529,-0.724867123,0.709484887,-1.850616169
UTSA,0.798446825,-0.923887451,-0.657768288,0.581415547,0.114840045
Vanderbilt,1.381927197,-0.192768106,0.50457925,-1.59576324,0.327961803
Virginia,0.631738147,0.090326174,0.883408092,0.043524317,-0.461378042
Virginia Tech,0.048257775,0.42599906,0.328444806,-0.340683704,0.730525124
W Kentucky,-1.618829003,-0.681472407,-0.512387477,0.863168096,-0.232469487
W Michigan,-1.368765986,-0.949900024,-0.707393468,1.272989985,-0.863941363
Wake Forest,-0.28515958,-0.027007135,0.220807091,0.120365921,-0.508738432
Washington,-0.118450903,0.901420344,0.368983686,-1.006644274,0.185880631
Washington St,-2.202309375,-0.243963064,-0.468353866,0.171593658,0.043799459
West Virginia,-0.618576936,0.292892169,0.564688623,-0.366297572,0.106946647
Wisconsin,0.881801164,0.872917205,1.511061784,-1.621377108,0.177987233
Wyoming,0.881801164,-0.564692557,-0.85626901,1.324217721,-1.13231691
